,map_row,map_col,Day,actual_label,predicted_label,left,right,up,down
362,0,3,524,2,2,0,-1,-1,-1
363,0,3,524,2,2,0,-1,-1,-1
364,1,5,525,2,0,-1,-1,-1,2
365,5,1,525,2,2,-1,-1,-1,-1
366,1,3,526,2,2,0,0,-1,-1
367,4,2,526,2,2,-1,-1,-1,-1
368,3,5,527,2,2,-1,-1,-1,-1
369,3,5,528,2,2,-1,-1,-1,-1
370,2,6,52,2,2,-1,0,0,-1
371,3,7,531,2,2,-1,0,0,-1
372,2,6,533,2,2,-1,0,0,-1
373,0,4,534,2,2,-1,0,-1,0
374,0,4,535,2,2,-1,0,-1,0
375,7,4,536,2,3,2,-1,2,2
376,7,3,537,2,2,-1,3,-1,-1
377,9,4,538,2,2,-1,3,-1,-1
378,2,6,53,2,2,-1,0,0,-1
379,4,7,541,2,2,-1,1,-1,1
380,7,1,541,2,2,3,-1,-1,-1
381,4,7,542,2,2,-1,1,-1,1
382,5,2,542,2,2,-1,-1,-1,-1
383,3,7,543,2,2,-1,0,0,-1
384,5,2,543,2,2,-1,-1,-1,-1
385,2,4,544,2,2,-1,-1,0,-1
386,8,3,544,2,2,-1,-1,-1,-1
387,2,3,545,2,2,0,-1,-1,-1
388,8,3,545,2,2,-1,-1,-1,-1
389,2,4,546,2,2,-1,-1,0,-1
390,9,4,546,2,2,-1,3,-1,-1
391,3,1,547,2,0,2,2,-1,2
392,6,9,548,2,1,-1,-1,-1,-1
393,2,4,551,2,2,-1,-1,0,-1
394,2,5,552,2,2,-1,-1,0,-1
395,2,5,553,2,2,-1,-1,0,-1
396,3,6,554,2,2,-1,-1,-1,-1
397,6,0,554,2,3,-1,2,2,-1
398,4,0,555,2,2,-1,-1,-1,-1
399,5,0,555,2,2,-1,-1,-1,3
400,2,5,556,2,2,-1,-1,0,-1
401,6,1,556,2,2,3,-1,-1,-1
402,8,4,557,2,2,-1,3,3,-1
403,0,0,560,2,2,-1,0,-1,0
404,3,3,561,2,2,-1,-1,-1,-1
405,7,1,562,2,2,3,-1,-1,-1
406,4,5,563,2,2,-1,-1,-1,3
407,5,4,564,2,2,-1,3,-1,-1
408,5,4,564,2,2,-1,3,-1,-1
409,8,3,565,2,2,-1,-1,-1,-1
410,8,3,566,2,2,-1,-1,-1,-1
411,6,4,567,2,2,-1,3,-1,3
412,9,3,568,2,2,-1,-1,-1,-1
413,6,4,568,2,2,-1,3,-1,3
414,6,3,569,2,2,-1,-1,-1,-1
415,7,3,571,2,2,-1,3,-1,-1
416,0,1,572,2,0,2,-1,-1,-1
417,6,2,572,2,2,-1,-1,-1,-1
418,5,3,573,2,2,-1,-1,-1,-1
419,5,2,573,2,2,-1,-1,-1,-1
420,5,3,574,2,2,-1,-1,-1,-1
421,5,3,574,2,2,-1,-1,-1,-1
422,5,3,575,2,2,-1,-1,-1,-1
423,6,0,575,2,3,-1,2,2,-1
424,9,3,576,2,2,-1,-1,-1,-1
425,7,0,576,2,3,-1,2,-1,2
426,6,2,577,2,2,-1,-1,-1,-1
427,6,3,578,2,2,-1,-1,-1,-1
428,0,0,580,2,2,-1,0,-1,0
429,9,2,581,2,2,-1,-1,-1,-1
430,8,0,581,2,2,-1,-1,3,-1
431,8,0,582,2,2,-1,-1,3,-1
432,6,1,583,2,2,3,-1,-1,-1
433,7,2,585,2,2,-1,-1,-1,-1
434,6,2,586,2,2,-1,-1,-1,-1
435,6,0,588,2,3,-1,2,2,-1
436,7,0,589,2,3,-1,2,-1,2
437,6,2,590,2,2,-1,-1,-1,-1
438,8,1,591,2,2,-1,-1,-1,-1
439,5,2,591,2,2,-1,-1,-1,-1
440,5,1,592,2,2,-1,-1,-1,-1
441,5,0,593,2,2,-1,-1,-1,3
442,0,0,598,2,2,-1,0,-1,0
443,4,4,603,2,2,-1,-1,-1,-1
444,9,0,603,2,2,-1,-1,-1,-1
445,9,0,604,2,2,-1,-1,-1,-1
446,9,4,605,2,2,-1,3,-1,-1
447,1,7,605,2,0,-1,-1,-1,-1
448,9,3,605,2,2,-1,-1,-1,-1
449,1,0,608,2,0,-1,-1,2,-1
450,1,0,608,2,0,-1,-1,2,-1
451,7,2,609,2,2,-1,-1,-1,-1
452,5,4,615,2,2,-1,3,-1,-1
453,1,1,626,2,0,-1,-1,-1,-1
454,6,3,628,2,2,-1,-1,-1,-1
455,4,3,630,2,2,-1,-1,-1,-1
456,9,1,631,2,2,-1,-1,-1,-1
457,3,7,633,2,2,-1,0,0,-1
458,9,3,637,2,2,-1,-1,-1,-1
459,5,1,638,2,2,-1,-1,-1,-1
460,4,2,639,2,2,-1,-1,-1,-1
461,5,1,640,2,2,-1,-1,-1,-1
462,7,0,641,2,3,-1,2,-1,2
463,8,0,642,2,2,-1,-1,3,-1
464,5,1,643,2,2,-1,-1,-1,-1
465,5,1,643,2,2,-1,-1,-1,-1
466,9,3,644,2,2,-1,-1,-1,-1
467,7,1,644,2,2,3,-1,-1,-1
468,4,3,647,2,2,-1,-1,-1,-1
469,8,4,648,2,2,-1,3,3,-1
470,7,3,650,2,2,-1,3,-1,-1
471,8,3,651,2,2,-1,-1,-1,-1
472,5,2,651,2,2,-1,-1,-1,-1
473,5,3,653,2,2,-1,-1,-1,-1
474,5,5,654,2,3,2,-1,2,-1
475,6,4,654,2,2,-1,3,-1,3
476,5,4,655,2,2,-1,3,-1,-1
477,9,4,656,2,2,-1,3,-1,-1
478,4,2,661,2,2,-1,-1,-1,-1
479,4,3,662,2,2,-1,-1,-1,-1
480,4,3,663,2,2,-1,-1,-1,-1
481,4,3,663,2,2,-1,-1,-1,-1
482,4,1,664,2,2,-1,-1,0,-1
483,3,7,668,2,2,-1,0,0,-1
484,3,7,669,2,2,-1,0,0,-1
485,8,3,670,2,2,-1,-1,-1,-1
486,9,3,671,2,2,-1,-1,-1,-1
487,7,2,671,2,2,-1,-1,-1,-1
488,7,3,672,2,2,-1,3,-1,-1
489,0,4,672,2,2,-1,0,-1,0
490,6,3,673,2,2,-1,-1,-1,-1
491,6,4,675,2,2,-1,3,-1,3
492,4,2,68,2,2,-1,-1,-1,-1
493,4,2,68,2,2,-1,-1,-1,-1
494,3,6,695,2,2,-1,-1,-1,-1
495,3,5,696,2,2,-1,-1,-1,-1
496,8,1,69,2,2,-1,-1,-1,-1
497,4,4,700,2,2,-1,-1,-1,-1
498,4,1,71,2,2,-1,-1,0,-1
499,3,5,72,2,2,-1,-1,-1,-1
500,3,5,72,2,2,-1,-1,-1,-1
501,4,1,73,2,2,-1,-1,0,-1
502,4,6,84,2,2,-1,-1,-1,3
503,3,6,95,2,2,-1,-1,-1,-1
504,3,6,96,2,2,-1,-1,-1,-1
505,6,9,115,1,1,-1,-1,-1,-1
506,4,8,127,1,1,2,-1,0,-1
507,5,9,128,1,1,-1,-1,-1,-1
508,5,9,129,1,1,-1,-1,-1,-1
509,4,9,143,1,1,-1,-1,-1,-1
510,5,9,145,1,1,-1,-1,-1,-1
511,7,9,147,1,1,-1,-1,-1,-1
512,6,9,150,1,1,-1,-1,-1,-1
513,6,9,153,1,1,-1,-1,-1,-1
514,5,9,155,1,1,-1,-1,-1,-1
515,5,9,156,1,1,-1,-1,-1,-1
516,5,9,158,1,1,-1,-1,-1,-1
517,4,8,161,1,1,2,-1,0,-1
518,5,9,171,1,1,-1,-1,-1,-1
519,7,8,172,1,1,-1,-1,-1,-1
520,8,7,173,1,1,-1,-1,-1,-1
521,9,7,184,1,1,-1,-1,-1,-1
522,9,7,185,1,1,-1,-1,-1,-1
