,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
80,0.288,0.271385,0.256615,0.243692,0.233231,0.223385,0.215385,0.209846,0.206769,0.206154,0.208,0.211692,0.217231,0.224615,0.233846,31,28,CL
81,0.287385,0.269538,0.253538,0.239385,0.227077,0.216615,0.208,0.201846,0.198769,0.198769,0.200615,0.204923,0.210462,0.218462,0.227692,31,28,CL
82,0.287385,0.268308,0.251077,0.235692,0.222769,0.211077,0.202462,0.196308,0.193231,0.192615,0.195077,0.199385,0.205538,0.214154,0.224,31,28,CL
83,0.288615,0.268308,0.249846,0.233846,0.219692,0.207385,0.198154,0.192615,0.189538,0.188923,0.191385,0.195692,0.202462,0.211077,0.222154,31,28,CL
84,0.291077,0.269538,0.250462,0.233231,0.218462,0.206154,0.196923,0.190154,0.187692,0.187077,0.189538,0.194462,0.201846,0.211077,0.221538,31,28,CL
85,0.296,0.273231,0.252308,0.235077,0.219692,0.206769,0.196923,0.190769,0.187692,0.187692,0.190154,0.195692,0.203077,0.212308,0.223385,31,28,CL
86,0.302154,0.278154,0.257231,0.238769,0.222769,0.209846,0.2,0.193231,0.190154,0.190154,0.192615,0.198769,0.206154,0.216,0.227692,31,28,CL
87,0.310769,0.285538,0.263385,0.244923,0.228923,0.215385,0.204923,0.198154,0.195077,0.195077,0.198154,0.203692,0.211692,0.221538,0.233846,31,28,CL
88,0.322462,0.296,0.272615,0.253538,0.237538,0.224,0.213538,0.206769,0.203077,0.203077,0.205538,0.211692,0.219692,0.229538,0.242462,31,28,CL
89,0.337231,0.308923,0.284308,0.264615,0.248,0.234462,0.224615,0.217231,0.213538,0.213538,0.216,0.221538,0.229538,0.24,0.253538,31,28,CL
90,0.464615,0.463385,0.462769,0.460923,0.460308,0.457846,0.455385,0.452923,0.451077,0.450462,0.450462,0.450462,0.451692,0.453538,0.456615,49,32,CL
91,0.461538,0.459692,0.458462,0.455385,0.453538,0.449231,0.446154,0.442462,0.440615,0.439385,0.439385,0.44,0.442462,0.445538,0.450462,49,32,CL
92,0.460308,0.457231,0.453538,0.448615,0.443692,0.438154,0.433231,0.429538,0.427692,0.427077,0.427692,0.429538,0.432615,0.437538,0.443692,49,32,CL
93,0.457231,0.452308,0.446154,0.438154,0.431385,0.425231,0.418462,0.416,0.412923,0.413538,0.415385,0.417846,0.422769,0.428923,0.436923,49,32,CL
94,0.454769,0.445538,0.437538,0.428308,0.419077,0.412308,0.405538,0.401846,0.399385,0.4,0.403077,0.407385,0.413538,0.421538,0.431385,49,32,CL
95,0.451077,0.441846,0.430769,0.418462,0.408615,0.400615,0.394462,0.390769,0.388923,0.389538,0.392615,0.398769,0.406154,0.416,0.427077,49,32,CL
96,0.448,0.438154,0.425846,0.414154,0.403692,0.393846,0.387077,0.382769,0.380923,0.382154,0.385846,0.393231,0.401846,0.412308,0.424615,49,32,CL
97,0.448615,0.437538,0.425231,0.412308,0.4,0.391385,0.384615,0.380308,0.378462,0.379077,0.382769,0.390154,0.4,0.411692,0.425231,49,32,CL
98,0.453538,0.440615,0.427077,0.414769,0.403692,0.393846,0.385846,0.380923,0.379077,0.379692,0.383385,0.390154,0.400615,0.413538,0.428923,49,32,CL
99,0.462769,0.449231,0.433846,0.420308,0.408,0.398154,0.390769,0.384615,0.382154,0.381538,0.385231,0.392,0.403692,0.416,0.433231,49,32,CL
100,0.475692,0.459692,0.443692,0.428308,0.415385,0.404923,0.395692,0.390154,0.385231,0.385231,0.387692,0.395077,0.406154,0.420923,0.438154,49,32,CL
101,0.490462,0.473231,0.455385,0.438769,0.424,0.412308,0.402462,0.395692,0.389538,0.390769,0.392615,0.400615,0.411692,0.427077,0.444923,49,32,CL
102,0.505846,0.487385,0.469538,0.450462,0.434462,0.420308,0.408,0.4,0.396308,0.396308,0.398769,0.406769,0.417846,0.433846,0.451077,49,32,CL
103,0.52,0.502154,0.483692,0.464,0.446769,0.431385,0.419077,0.408,0.402462,0.401846,0.406154,0.414154,0.426462,0.442462,0.463385,49,32,CL
104,0.536615,0.518769,0.499692,0.479385,0.461538,0.443692,0.429538,0.418462,0.412923,0.411077,0.414769,0.424,0.437538,0.454769,0.475077,49,32,CL
105,0.552,0.544,0.536615,0.529846,0.524923,0.521846,0.52,0.519385,0.520615,0.523077,0.527385,0.534769,0.542154,0.549538,0.556923,96,38,CL
106,0.537231,0.527385,0.518154,0.510769,0.504615,0.500923,0.498462,0.497231,0.499077,0.502154,0.508308,0.515692,0.525538,0.534769,0.544,96,38,CL
107,0.523692,0.512,0.502154,0.492923,0.486154,0.481231,0.477538,0.476308,0.478769,0.481231,0.488615,0.496,0.507692,0.518769,0.530462,96,38,CL
108,0.512,0.498462,0.486769,0.476923,0.469538,0.462769,0.457846,0.456,0.457846,0.460923,0.468308,0.477538,0.489846,0.503385,0.517538,96,38,CL
109,0.502154,0.488,0.475077,0.464,0.454769,0.446769,0.440615,0.438154,0.438769,0.443077,0.449231,0.459077,0.472,0.487385,0.503385,96,38,CL
110,0.495385,0.48,0.465231,0.453538,0.443077,0.433846,0.427692,0.424615,0.424615,0.427077,0.433846,0.443077,0.456615,0.472615,0.490462,96,38,CL
111,0.491692,0.474462,0.459077,0.445538,0.433846,0.424615,0.418462,0.414769,0.413538,0.416,0.421538,0.430769,0.444308,0.460308,0.478769,96,38,CL
112,0.490462,0.472615,0.456,0.441231,0.428923,0.419077,0.412923,0.408615,0.407385,0.408615,0.412923,0.421538,0.434462,0.451077,0.469538,96,38,CL
113,0.492923,0.473846,0.456,0.440615,0.427692,0.417231,0.409846,0.405538,0.403077,0.403692,0.408,0.416,0.428308,0.444923,0.462769,96,38,CL
114,0.499077,0.477538,0.459077,0.443077,0.429538,0.418462,0.410462,0.405538,0.403077,0.403077,0.406154,0.413538,0.425231,0.441231,0.459692,96,38,CL
115,0.508308,0.485538,0.465231,0.448615,0.433846,0.422154,0.413538,0.408615,0.404923,0.403692,0.406769,0.414154,0.425846,0.441846,0.459692,96,38,CL
116,0.521231,0.497846,0.476308,0.457231,0.441846,0.429538,0.420308,0.414154,0.409231,0.408,0.411077,0.417846,0.429538,0.444923,0.462769,96,38,CL
117,0.538462,0.513231,0.490462,0.470769,0.452923,0.44,0.429538,0.422154,0.417231,0.416,0.418462,0.425231,0.436308,0.451692,0.468923,96,38,CL
118,0.558154,0.532923,0.508923,0.488,0.469538,0.454154,0.442462,0.434462,0.428923,0.427692,0.429538,0.436308,0.447385,0.461538,0.479385,96,38,CL
119,0.580308,0.555077,0.531692,0.509538,0.490462,0.473231,0.460923,0.451077,0.444923,0.443077,0.444923,0.451077,0.461538,0.475077,0.492923,96,38,CL
120,0.552,0.544,0.536615,0.529846,0.524923,0.521846,0.52,0.519385,0.520615,0.523077,0.527385,0.534769,0.542154,0.549538,0.556923,96,38,CL
121,0.537231,0.527385,0.518154,0.510769,0.504615,0.500923,0.498462,0.497231,0.499077,0.502154,0.508308,0.515692,0.525538,0.534769,0.544,96,38,CL
122,0.523692,0.512,0.502154,0.492923,0.486154,0.481231,0.477538,0.476308,0.478769,0.481231,0.488615,0.496,0.507692,0.518769,0.530462,96,38,CL
123,0.512,0.498462,0.486769,0.476923,0.469538,0.462769,0.457846,0.456,0.457846,0.460923,0.468308,0.477538,0.489846,0.503385,0.517538,96,38,CL
124,0.502154,0.488,0.475077,0.464,0.454769,0.446769,0.440615,0.438154,0.438769,0.443077,0.449231,0.459077,0.472,0.487385,0.503385,96,38,CL
125,0.495385,0.48,0.465231,0.453538,0.443077,0.433846,0.427692,0.424615,0.424615,0.427077,0.433846,0.443077,0.456615,0.472615,0.490462,96,38,CL
126,0.491692,0.474462,0.459077,0.445538,0.433846,0.424615,0.418462,0.414769,0.413538,0.416,0.421538,0.430769,0.444308,0.460308,0.478769,96,38,CL
127,0.490462,0.472615,0.456,0.441231,0.428923,0.419077,0.412923,0.408615,0.407385,0.408615,0.412923,0.421538,0.434462,0.451077,0.469538,96,38,CL
